,,"Climate change, short term"
,,kg CO2 eq (short)
CA-QC,Private vehicle use,14922137766.711409
CA-QC,Heating and cooking,7513357460.134228
CA-QC,Motor gasoline,3327072511.007279
CA-QC,Prepared meals,2653428784.342507
WA,Wearing apparel; furs (18),1954001521.3947494
CA-QC,Rental of residential real estate,1867995840.8254578
US,"Motor vehicles, trailers and semi-trailers (34)",1599656065.1526756
US,Meat animals nec,1549365348.0945244
CA-AB,Fresh and frozen beef and veal,1065257370.171357
CA-QC,Imputed rental of owner-occupied dwellings,938194910.6290876
CA-QC,"Processed meat products, other miscellaneous meats and animal by-products",843190895.6007338
CA-QC,Retail margins - food and beverages,810315859.0387212
CN,Wearing apparel; furs (18),751714975.9096565
CA-QC,Fresh and frozen poultry of all types,710600257.8187909
CN,Furniture; other manufactured goods n.e.c. (36),624280651.0417879
CA-QC,Retail margins - motor vehicles and parts,607816097.4588567
CA-QC,Air passenger transportation services,599570970.3764606
CA-QC,Road transportation services for specialized freight,591256658.6985663
CA-QC,Wholesale margins - personal and household goods,547473356.1968689
US,Chemicals nec,522913427.0622513
CA-QC,Processed fluid milk and milk products,517100952.70103526
MX,"Motor vehicles, trailers and semi-trailers (34)",502517363.2578068
CN,Electrical machinery and apparatus n.e.c. (31),490842727.99576086
CA-QC,Fresh and frozen pork,473947382.7981821
CA-QC,Retail margins - health and personal care products,472621321.2770753
CA-QC,Retail margins - clothing and clothing accessories,463284033.76780874
US,Food products nec,458298589.3541579
CA-QC,Cheese and cheese products,444512260.1426526
CA-QC,Sanitary paper products,428149171.7591905
CA-ON,Cheese and cheese products,424720978.85110205
CA-QC,Alcoholic beverages for immediate consumption,417224306.021484
KR,"Motor vehicles, trailers and semi-trailers (34)",387736266.580969
CA-QC,"Wholesale margins - food, beverages and tobacco products",384453619.768659
CA-QC,Road transportation services for general freight,379292610.5224317
CA-QC,Preserved fruit and vegetables and frozen foods,371284110.13556343
CA-QC,Beer,368026169.91694695
CA-QC,Motor vehicle repair and maintenance services,349506687.54586834
US,Motor Gasoline,338695966.20058054
CA-QC,Fresh vegetables (except potatoes),335579299.94083107
CA-QC,Retail margins - miscellaneous products (except cannabis),311905500.514301
JP,"Motor vehicles, trailers and semi-trailers (34)",290867770.78416777
CN,Chemicals nec,283124853.5979167
CA-NB,Motor gasoline,281607486.2667744
CA-QC,Mobile telecommunications services,263425284.4097621
CA-QC,Dental services,244317360.43658695
US,Products of meat cattle,235431788.68707058
CA-QC,Light fuel oils,227489741.7495375
CA-QC,Electricity,220622921.6834399
CA-ON,"Processed meat products, other miscellaneous meats and animal by-products",211581002.4251722
CA-QC,Retail margins - furniture and home furnishings,211475228.48559108
